Domain,Question,,,,,,,,,,,,Answer
Accounting,What is accounting?,Accounting is the process of recording, classifying, summarizing, and interpreting financial transactions to provide useful information for decision-making.,,,,,,,,it is the process of recording  classifying  summarizing  and interpreting financial transactions to provide useful information for decision-making.
Accounting,What are the basic principles of accounting?,The basic principles of accounting include the revenue recognition principle, matching principle, cost principle, full disclosure principle, and going concern principle.,,,,,,,"revenue recognition principle , matching principle,  cost principle,  full disclosure principle  and going concern principle."
Accounting,What is the difference between financial accounting and management accounting?,Financial accounting focuses on preparing financial statements for external stakeholders, while management accounting provides internal reports to help managers make decisions.,,,,,,,,,,Financial accounting focuses on preparing financial statements for external stakeholders  while management accounting provides internal reports to help managers make decisions.
Accounting,What are the main financial statements?,The main financial statements are the balance sheet, income statement, statement of cash flows, and statement of shareholders’ equity.,,,,,,,,balance sheet  income statement  statement of cash flows  and statement of shareholders equity.
Accounting,What is the balance sheet?,A balance sheet is a financial statement that shows a company’s assets, liabilities, and equity at a specific point in time, providing a snapshot of its financial position.,,,,,,,,it is a financial statement that shows a companys assets  liabilities  and equity at a specific point in time  providing a snapshot of its financial position.
Accounting,What is an income statement?,An income statement is a financial statement that shows a company’s revenues, expenses, and profit or loss over a specific period, typically quarterly or annually.,,,,,,,,it is a financial statement that shows a company’s revenues  expenses  and profit or loss over a specific period  typically quarterly or annually.
Accounting,What is the statement of cash flows?,The statement of cash flows is a financial statement that shows a company’s cash inflows and outflows from operating, investing, and financing activities during a specific period.,,,,,,,,,it is a financial statement that shows a company’s cash inflows and outflows from operating  investing  and financing activities during a specific period.
Accounting,What is equity in accounting?,Equity represents the ownership interest in a company, calculated as assets minus liabilities, and is also known as shareholders’ equity.,,,,,,,,, represents the ownership interest in a company  calculated as assets minus liabilities  and is also known as shareholders’ equity.
Accounting,What is the difference between assets and liabilities?,Assets are resources owned by a company that have economic value, while liabilities are obligations that the company owes to external parties.,,,,,,,,,,Assets are resources owned by a company that have economic value  while liabilities are obligations that the company owes to external parties.
Accounting,What is double-entry bookkeeping?,Double-entry bookkeeping is an accounting method in which every financial transaction affects at least two accounts, with one debit entry and one credit entry, ensuring the accounting equation stays balanced.,,,,,,,,,it is an accounting method in which every financial transaction affects at least two accounts  with one debit entry and one credit entry  ensuring the accounting equation stays balanced.
Accounting,What is depreciation?,Depreciation is the process of allocating the cost of a tangible asset over its useful life, reflecting the decrease in its value over time.,,,,,,,,,,it is the process of allocating the cost of a tangible asset over its useful life  reflecting the decrease in its value over time.
Accounting,What is the purpose of auditing in accounting?,Auditing involves examining a company’s financial records and statements to ensure accuracy, compliance with regulations, and reliability for stakeholders.,,,,,,,,,it involves examining a company’s financial records and statements to ensure accuracy  compliance with regulations  and reliability for stakeholders.
Accounting,What is accrual accounting?,Accrual accounting recognizes revenue when earned and expenses when incurred, regardless of when cash is actually received or paid.,,,,,,,,,,it recognizes revenue when earned and expenses when incurred  regardless of when cash is actually received or paid.
Accounting,What is cash accounting?,Cash accounting records revenues and expenses only when cash is received or paid, unlike accrual accounting.,,,,,,,,,,It records revenues and expenses only when cash is received or paid  unlike accrual accounting.
Accounting,What is the chart of accounts?,The chart of accounts is a list of all the accounts used by a company to record transactions, organized by categories such as assets, liabilities, income, and expenses.,,,,,,, is a list of all the accounts used by a company to record transactions  organized by categories such as assets  liabilities  income  and expenses.
Accounting,What are current assets?,Current assets are assets that are expected to be converted into cash or used up within one year, such as cash, accounts receivable, and inventory.,,,,,,,,assets that are expected to be converted into cash or used up within one year  such as cash  accounts receivable  and inventory.
Accounting,What are non-current assets?,Non-current assets are long-term assets that are expected to provide value for more than one year, such as property, plant, equipment, and intangible assets.,,,,,,,long-term assets that are expected to provide value for more than one year  such as property  plant  equipment  and intangible assets.
Accounting,What are liabilities?,Liabilities are financial obligations that a company owes to external parties, such as loans, accounts payable, and mortgages.,,,,,,,,financial obligations that a company owes to external parties  such as loans  accounts payable  and mortgages.
