Domain,Question,,,,,,,,,,,,Answer
Business Analysis,What is business analysis?,Business analysis is the practice of identifying business needs, determining solutions to business problems, and ensuring that the solutions align with organizational goals.,,,,,,,,,Business analysis is the practice of identifying business needs  determining solutions to business problems  and ensuring that the solutions align with organizational goals.
Business Analysis,What are the key roles of a business analyst?,The key roles of a business analyst include identifying business problems, gathering requirements, analyzing data, and providing recommendations to improve business processes and solutions.,,,,,,,,The key roles of a business analyst include identifying business problems  gathering requirements  analyzing data  and providing recommendations to improve business processes and solutions.
Business Analysis,What is a requirements gathering process?,Requirements gathering is the process of collecting, analyzing, and documenting the needs and requirements of stakeholders for a project or business initiative.,,,,,,,,,Requirements gathering is the process of collecting  analyzing  and documenting the needs and requirements of stakeholders for a project or business initiative.
Business Analysis,What is the difference between functional and non-functional requirements?,Functional requirements describe the behavior of a system or what it should do, while non-functional requirements describe the system's performance, usability, and other quality attributes.,,,,,,,,Functional requirements describe the behavior of a system or what it should do  while non-functional requirements describe the system's performance  usability  and other quality attributes.
Business Analysis,What is a SWOT analysis?,SWOT analysis is a tool used to evaluate a company's internal strengths and weaknesses, as well as external opportunities and threats, to inform strategic planning and decision-making.,,,,,,,,,SWOT analysis is a tool used to evaluate a company's internal strengths and weaknesses  as well as external opportunities and threats  to inform strategic planning and decision-making.
Business Analysis,What is a business case?,A business case is a document or presentation that justifies the need for a project or initiative, outlining the benefits, costs, risks, and overall value it will bring to the organization.,,,,,,,A business case is a document or presentation that justifies the need for a project or initiative  outlining the benefits  costs  risks  and overall value it will bring to the organization.
Business Analysis,What is a use case?,A use case is a description of a system’s behavior in response to a particular user action, detailing how users interact with the system to achieve a specific goal.,,,,,,,,,,A use case is a description of a system’s behavior in response to a particular user action  detailing how users interact with the system to achieve a specific goal.
Business Analysis,What is a stakeholder in business analysis?,A stakeholder is any individual, group, or organization that is affected by or can affect the outcome of a project or initiative, such as customers, employees, and business leaders.,,,,,,A stakeholder is any individual  group  or organization that is affected by or can affect the outcome of a project or initiative  such as customers  employees  and business leaders.
Business Analysis,What is the purpose of a business requirements document (BRD)?,A business requirements document (BRD) outlines the business needs, goals, and objectives for a project, providing a clear understanding of what is required to deliver the solution.,,,,,,,,A business requirements document (BRD) outlines the business needs  goals  and objectives for a project  providing a clear understanding of what is required to deliver the solution.
Business Analysis,What is a gap analysis?,Gap analysis is the process of comparing the current state of a business process or system with the desired future state, identifying any gaps that need to be addressed.,,,,,,,,,,Gap analysis is the process of comparing the current state of a business process or system with the desired future state  identifying any gaps that need to be addressed.
Business Analysis,What is a functional specification document (FSD)?,A functional specification document (FSD) outlines the functional requirements of a system or solution, detailing how the system will operate to meet business needs.,,,,,,,,,,A functional specification document (FSD) outlines the functional requirements of a system or solution  detailing how the system will operate to meet business needs.
Business Analysis,What is process mapping?,Process mapping is the visual representation of a business process, used to analyze and understand the flow of activities, inputs, and outputs to improve efficiency.,,,,,,,,Process mapping is the visual representation of a business process  used to analyze and understand the flow of activities  inputs  and outputs to improve efficiency.
Business Analysis,What is a project charter?,A project charter is a document that authorizes the initiation of a project, providing an overview of the project's objectives, scope, stakeholders, and high-level requirements.,,,,,,,A project charter is a document that authorizes the initiation of a project  providing an overview of the project's objectives  scope  stakeholders  and high-level requirements.
Business Analysis,What is the role of a business analyst in project management?,In project management, a business analyst helps define project goals, gather and document requirements, ensure alignment between stakeholders, and support the implementation of solutions.,,,,,,,In project management  a business analyst helps define project goals  gather and document requirements  ensure alignment between stakeholders  and support the implementation of solutions.
Business Analysis,What is a requirements traceability matrix (RTM)?,A requirements traceability matrix (RTM) is a tool used to ensure that each business requirement is traced through the project lifecycle, from design to testing to delivery.,,,,,,,,,,A requirements traceability matrix (RTM) is a tool used to ensure that each business requirement is traced through the project lifecycle  from design to testing to delivery.
Business Analysis,What is change management in business analysis?,Change management involves planning and managing changes to a project or business process, ensuring that stakeholders are informed, impacted parties are prepared, and the transition is smooth.,,,,,,,,Change management involves planning and managing changes to a project or business process  ensuring that stakeholders are informed  impacted parties are prepared  and the transition is smooth.
Business Analysis,What is the role of data analysis in business analysis?,Data analysis in business analysis involves reviewing data to identify trends, insights, and patterns, which inform decisions, improve processes, and provide a foundation for business recommendations.,,,,,,Data analysis in business analysis involves reviewing data to identify trends  insights  and patterns  which inform decisions  improve processes  and provide a foundation for business recommendations.
Business Analysis,What is an agile methodology in business analysis?,Agile methodology in business analysis involves iterative and flexible project development, where business analysts work closely with stakeholders to continuously refine and prioritize requirements.,,,,,,,,,,Agile methodology in business analysis involves iterative and flexible project development  where business analysts work closely with stakeholders to continuously refine and prioritize requirements.
Business Analysis,What is the role of a business analyst in an agile environment?,In an agile environment, a business analyst works with stakeholders to gather requirements, prioritize user stories, and ensure that the team delivers value incrementally through regular feedback loops.,,,,,,,,In an agile environment  a business analyst works with stakeholders to gather requirements  prioritize user stories  and ensure that the team delivers value incrementally through regular feedback loops.
