Domain,Question,,,,,,,,,,,,Answer
Business Intelligence,What is Business Intelligence (BI)?,Business Intelligence (BI) is the technology, processes, and tools that help organizations collect, analyze, and present business data for decision-making purposes.,,,,,,,Business Intelligence (BI) is the technology  processes  and tools that help organizations collect  analyze  and present business data for decision-making purposes.
Business Intelligence,What are the key components of BI?,The key components of BI include data collection, data storage, data analysis, reporting, and decision-making tools.,,,,,,,The key components of BI include data collection  data storage  data analysis  reporting  and decision-making tools.
Business Intelligence,What is the difference between BI and data analytics?,BI focuses on the descriptive analysis of historical data to inform business decisions, while data analytics includes predictive and prescriptive analytics to forecast future trends and optimize decisions.,,,,,,,,,,BI focuses on the descriptive analysis of historical data to inform business decisions  while data analytics includes predictive and prescriptive analytics to forecast future trends and optimize decisions.
Business Intelligence,What is a data warehouse?,A data warehouse is a centralized repository that stores structured data from different sources for reporting and analysis.,,,,,,,,,,,A data warehouse is a centralized repository that stores structured data from different sources for reporting and analysis.
Business Intelligence,What is OLAP?,OLAP (Online Analytical Processing) is a category of data processing that enables users to analyze multidimensional data interactively from multiple perspectives.,,,,,,,,,,,OLAP (Online Analytical Processing) is a category of data processing that enables users to analyze multidimensional data interactively from multiple perspectives.
Business Intelligence,What is a dashboard in BI?,A dashboard is a visual display of key metrics and trends, used in BI to provide at-a-glance insights into business performance.,,,,,,,,,,A dashboard is a visual display of key metrics and trends  used in BI to provide at-a-glance insights into business performance.
Business Intelligence,What is a KPI?,KPI (Key Performance Indicator) is a measurable value that demonstrates how effectively an organization is achieving key business objectives.,,,,,,,,,,,KPI (Key Performance Indicator) is a measurable value that demonstrates how effectively an organization is achieving key business objectives.
Business Intelligence,What is data mining?,Data mining is the process of discovering patterns, correlations, and trends in large datasets using machine learning, statistical analysis, and AI techniques.,,,,,,,Data mining is the process of discovering patterns  correlations  and trends in large datasets using machine learning  statistical analysis  and AI techniques.
Business Intelligence,What is ETL?,ETL stands for Extract, Transform, and Load. It is a process used in BI to collect data from different sources, clean and transform it, and then load it into a data warehouse.,,,,,,,ETL stands for Extract  Transform  and Load. It is a process used in BI to collect data from different sources  clean and transform it  and then load it into a data warehouse.
Business Intelligence,What is a report in BI?,A report in BI is a structured presentation of business data, often in the form of tables, charts, or graphs, used for analysis and decision-making.,,,,,,,A report in BI is a structured presentation of business data  often in the form of tables  charts  or graphs  used for analysis and decision-making.
