Domain,Question,,,,,,,,,,,,,,,Answer
Chartered Accountant,What is the role of a Chartered Accountant?,A Chartered Accountant is a professional who provides financial expertise, including auditing, accounting, tax planning, and financial advice to businesses and individuals.,,,,,,,,,,A Chartered Accountant is a professional who provides financial expertise  including auditing  accounting  tax planning  and financial advice to businesses and individuals.   
Chartered Accountant,What are the different types of audits?,The different types of audits include financial audits, internal audits, compliance audits, operational audits, and forensic audits.,,,,,,,,,,The different types of audits include financial audits  internal audits  compliance audits  operational audits  and forensic audits.   
Chartered Accountant,Explain the concept of double-entry bookkeeping.,Double-entry bookkeeping is a system where every financial transaction affects at least two accounts, ensuring that the accounting equation (Assets = Liabilities + Equity) remains balanced.,,,,,,,,,,,,,Double-entry bookkeeping is a system where every financial transaction affects at least two accounts  ensuring that the accounting equation (Assets = Liabilities + Equity) remains balanced.      
Chartered Accountant,What is the difference between financial accounting and management accounting?,Financial accounting focuses on preparing financial statements for external stakeholders, while management accounting provides financial information for internal decision-making.,,,,,,,,,,,,,Financial accounting focuses on preparing financial statements for external stakeholders  while management accounting provides financial information for internal decision-making.      
Chartered Accountant,What is the importance of reconciliation in accounting?,Reconciliation ensures that the balances in accounting records match the corresponding entries in other financial systems (like bank statements), helping to identify errors and discrepancies.,,,,,,,,,,,,,Reconciliation ensures that the balances in accounting records match the corresponding entries in other financial systems (like bank statements)  helping to identify errors and discrepancies.      
Chartered Accountant,What is GST and how is it calculated?,GST (Goods and Services Tax) is a value-added tax on goods and services. It is calculated as a percentage of the sale price, and businesses collect GST from customers on behalf of the government.,,,,,,,,,,,,,GST (Goods and Services Tax) is a value-added tax on goods and services. It is calculated as a percentage of the sale price  and businesses collect GST from customers on behalf of the government.      
Chartered Accountant,What is deferred tax liability?,Deferred tax liability arises when a company’s tax expenses are less than the tax payable due to temporary differences in accounting and tax treatment, which will reverse in the future.,,,,,,,,,,,,,Deferred tax liability arises when a company’s tax expenses are less than the tax payable due to temporary differences in accounting and tax treatment  which will reverse in the future.      
Chartered Accountant,What is the difference between a trial balance and a balance sheet?,A trial balance is a list of all general ledger accounts with their respective balances to ensure the books are balanced, while a balance sheet reports a company’s financial position at a specific point in time.,,,,,,,,,,,,,A trial balance is a list of all general ledger accounts with their respective balances to ensure the books are balanced  while a balance sheet reports a company’s financial position at a specific point in time.      
Chartered Accountant,Explain the concept of amortization.,Amortization refers to the process of spreading the cost of an intangible asset over its useful life, similar to depreciation for tangible assets.,,,,,,,,,,,,,Amortization refers to the process of spreading the cost of an intangible asset over its useful life  similar to depreciation for tangible assets.      
Chartered Accountant,What is a ledger?,A ledger is a book or digital record that contains the details of all financial transactions for a specific account, such as assets, liabilities, or revenue accounts.,,,,,,,,,,,A ledger is a book or digital record that contains the details of all financial transactions for a specific account  such as assets  liabilities  or revenue accounts.    
Chartered Accountant,What is the difference between accounts payable and accounts receivable?,Accounts payable refers to amounts a company owes to suppliers, while accounts receivable represents the amounts customers owe to the company for goods or services provided.,,,,,,,,,,,,,Accounts payable refers to amounts a company owes to suppliers  while accounts receivable represents the amounts customers owe to the company for goods or services provided.      
Chartered Accountant,What is the purpose of a cash flow statement?,A cash flow statement tracks the flow of cash into and out of a business, helping to assess its liquidity and cash management.,,,,,,,,,,,,,A cash flow statement tracks the flow of cash into and out of a business  helping to assess its liquidity and cash management.      
Chartered Accountant,What is the purpose of depreciation in accounting?,Depreciation allocates the cost of a fixed asset over its useful life, reflecting its decline in value over time for tax and accounting purposes.,,,,,,,,,,,,,Depreciation allocates the cost of a fixed asset over its useful life  reflecting its decline in value over time for tax and accounting purposes.      
Chartered Accountant,What is accrual accounting?,Accrual accounting recognizes revenue and expenses when they are incurred, regardless of when cash is received or paid.,,,,,,,,,,,,,Accrual accounting recognizes revenue and expenses when they are incurred  regardless of when cash is received or paid.      
Chartered Accountant,What are current liabilities?,Current liabilities are short-term financial obligations that a company must pay within one year, such as accounts payable, short-term loans, or accrued expenses.,,,,,,,,,,,Current liabilities are short-term financial obligations that a company must pay within one year  such as accounts payable  short-term loans  or accrued expenses.    
Chartered Accountant,What is the difference between a profit and loss statement and a balance sheet?,A profit and loss statement shows a company’s revenues, expenses, and profits over a period, while a balance sheet provides a snapshot of the company’s assets, liabilities, and equity at a specific point in time.,,,,,,,,,A profit and loss statement shows a company’s revenues  expenses  and profits over a period  while a balance sheet provides a snapshot of the company’s assets  liabilities  and equity at a specific point in time.  
Chartered Accountant,What is IFRS?,International Financial Reporting Standards (IFRS) are global accounting standards that provide guidelines on how financial transactions should be reported in financial statements.,,,,,,,,,,,,,,International Financial Reporting Standards (IFRS) are global accounting standards that provide guidelines on how financial transactions should be reported in financial statements.       
Chartered Accountant,What is the purpose of internal controls in accounting?,Internal controls are processes designed to ensure the accuracy and reliability of financial reporting, compliance with laws, and effective operations.,,,,,,,,,,,,Internal controls are processes designed to ensure the accuracy and reliability of financial reporting  compliance with laws  and effective operations.     
Chartered Accountant,What is a cost sheet?,A cost sheet is a detailed statement of the cost of production of goods or services, including direct costs, indirect costs, fixed costs, and variable costs.,,,,,,,,,,A cost sheet is a detailed statement of the cost of production of goods or services  including direct costs  indirect costs  fixed costs  and variable costs.   
Chartered Accountant,What is the difference between cash accounting and accrual accounting?,Cash accounting recognizes transactions when cash changes hands, while accrual accounting recognizes transactions when they are incurred, regardless of cash flow.,,,,,,,,,,,,Cash accounting recognizes transactions when cash changes hands  while accrual accounting recognizes transactions when they are incurred  regardless of cash flow.     
Chartered Accountant,"What is the meaning of the term ""liquidity"" in accounting?",Liquidity refers to the ability of a company to meet its short-term obligations using its most liquid assets, such as cash or assets that can be quickly converted to cash.,,,,,,,,,,,,,Liquidity refers to the ability of a company to meet its short-term obligations using its most liquid assets  such as cash or assets that can be quickly converted to cash.      
Chartered Accountant,What is a bank reconciliation statement?,A bank reconciliation statement is a process that ensures that the bank balance matches the balance in the company's cash book, reconciling any differences between the two.,,,,,,,,,,,,,A bank reconciliation statement is a process that ensures that the bank balance matches the balance in the company's cash book  reconciling any differences between the two.      
Chartered Accountant,What are provisions in accounting?,Provisions are amounts set aside for expected liabilities or expenses that are uncertain in timing or amount, like a provision for bad debts.,,,,,,,,,,,,,Provisions are amounts set aside for expected liabilities or expenses that are uncertain in timing or amount  like a provision for bad debts.      
