Domain,Question,,,,,,,,,Answer
Chemical Engineering,What is Chemical Engineering?,Chemical Engineering is a branch of engineering that applies physical sciences (e.g., chemistry and physics), life sciences (e.g., biology), mathematics, and economics to produce, design, and optimize industrial processes.,Chemical Engineering is a branch of engineering that applies physical sciences (e.g.  chemistry and physics)  life sciences (e.g.  biology)  mathematics  and economics to produce  design  and optimize industrial processes.
Chemical Engineering,What is the role of a chemical engineer?,A chemical engineer designs, optimizes, and operates processes that convert raw materials into valuable products, such as fuels, chemicals, and pharmaceuticals.,,,A chemical engineer designs  optimizes  and operates processes that convert raw materials into valuable products  such as fuels  chemicals  and pharmaceuticals.  
Chemical Engineering,What is unit operation in chemical engineering?,Unit operations are fundamental steps in a process, such as distillation, filtration, heat exchange, or mixing, that are used to transform materials.,,,Unit operations are fundamental steps in a process  such as distillation  filtration  heat exchange  or mixing  that are used to transform materials.  
Chemical Engineering,What is the difference between distillation and evaporation?,Distillation separates components of a mixture based on boiling points, while evaporation removes a solvent by boiling it off, leaving behind solutes.,,,,,,Distillation separates components of a mixture based on boiling points  while evaporation removes a solvent by boiling it off  leaving behind solutes.     
Chemical Engineering,What is a heat exchanger?,A heat exchanger is a device that transfers heat between two or more fluids without mixing them, often used to regulate temperature in chemical processes.,,,,,,,A heat exchanger is a device that transfers heat between two or more fluids without mixing them  often used to regulate temperature in chemical processes.      
Chemical Engineering,What is process optimization?,Process optimization involves improving the efficiency, yield, or cost-effectiveness of a chemical process by adjusting variables or equipment design.,,,,,,Process optimization involves improving the efficiency  yield  or cost-effectiveness of a chemical process by adjusting variables or equipment design.     
Chemical Engineering,What is the importance of mass balance in chemical engineering?,Mass balance ensures the conservation of mass in a chemical process, helping engineers calculate input and output material quantities.,,,,,,,Mass balance ensures the conservation of mass in a chemical process  helping engineers calculate input and output material quantities.      
Chemical Engineering,What is a P&ID (Piping and Instrumentation Diagram)?,A P&ID is a schematic representation of a chemical process, showing piping, equipment, control loops, and instrumentation.,,,,A P&ID is a schematic representation of a chemical process  showing piping  equipment  control loops  and instrumentation.   
Chemical Engineering,What is a chemical reactor?,A chemical reactor is a vessel where chemical reactions occur under controlled conditions of temperature, pressure, and reactant concentrations.,,,,,,A chemical reactor is a vessel where chemical reactions occur under controlled conditions of temperature  pressure  and reactant concentrations.     
Chemical Engineering,What is catalyst and how does it work?,A catalyst is a substance that speeds up a chemical reaction without being consumed, by lowering the activation energy required for the reaction.,,,,,,,A catalyst is a substance that speeds up a chemical reaction without being consumed  by lowering the activation energy required for the reaction.      
Chemical Engineering,What is the difference between batch and continuous processes?,A batch process produces materials in discrete quantities, while a continuous process operates without interruption to produce materials in a steady flow.,,,,,,,A batch process produces materials in discrete quantities  while a continuous process operates without interruption to produce materials in a steady flow.      
Chemical Engineering,What is fluid mechanics and its relevance in chemical engineering?,Fluid mechanics is the study of fluid behavior (liquids and gases) and is essential for designing equipment like pumps, compressors, and pipelines in chemical processes.,,,,,,Fluid mechanics is the study of fluid behavior (liquids and gases) and is essential for designing equipment like pumps  compressors  and pipelines in chemical processes.     
Chemical Engineering,What is the significance of Reynolds number in fluid flow?,Reynolds number determines whether fluid flow is laminar (smooth) or turbulent, helping design efficient flow systems.,,,,,,,Reynolds number determines whether fluid flow is laminar (smooth) or turbulent  helping design efficient flow systems.      
Chemical Engineering,What is the difference between heat transfer and mass transfer?,Heat transfer involves the movement of thermal energy, while mass transfer involves the movement of chemical species or components within a system.,,,,,,,Heat transfer involves the movement of thermal energy  while mass transfer involves the movement of chemical species or components within a system.      
Chemical Engineering,What is adsorption?,Adsorption is the process by which molecules from a fluid adhere to the surface of a solid or liquid, often used in separation processes.,,,,,,,Adsorption is the process by which molecules from a fluid adhere to the surface of a solid or liquid  often used in separation processes.      
Chemical Engineering,What is Le Chatelier's Principle?,Le Chatelier's Principle states that if a dynamic equilibrium is disturbed, the system will adjust to counteract the disturbance and restore equilibrium.,,,,,,,Le Chatelier's Principle states that if a dynamic equilibrium is disturbed  the system will adjust to counteract the disturbance and restore equilibrium.      
Chemical Engineering,What is the purpose of a distillation column?,A distillation column separates components of a mixture based on differences in their boiling points through a series of vapor-liquid contacts.,,,,,,,,A distillation column separates components of a mixture based on differences in their boiling points through a series of vapor-liquid contacts.       
Chemical Engineering,What is the difference between endothermic and exothermic reactions?,Endothermic reactions absorb heat, while exothermic reactions release heat during the chemical reaction.,,,,,,,Endothermic reactions absorb heat  while exothermic reactions release heat during the chemical reaction.      
Chemical Engineering,What is the significance of chemical equilibrium in a reaction?,Chemical equilibrium occurs when the rate of the forward reaction equals the rate of the reverse reaction, resulting in no net change in concentrations.,,,,,,,Chemical equilibrium occurs when the rate of the forward reaction equals the rate of the reverse reaction  resulting in no net change in concentrations.      
Chemical Engineering,What is the role of a pump in chemical processes?,A pump moves fluids (liquids or gases) from one location to another, often overcoming pressure differences or maintaining flow rates.,,,,,,,A pump moves fluids (liquids or gases) from one location to another  often overcoming pressure differences or maintaining flow rates.      
