Domain,Question,,,,,,,,,,,,Answer
Full Stack Development,What is Full Stack Development?,Full Stack Development refers to the development of both the frontend (client-side) and the backend (server-side) of a web application, including databases, APIs, and everything in between.,,,,,,,,Full Stack Development refers to the development of both the frontend (client-side) and the backend (server-side) of a web application  including databases  APIs  and everything in between.
Full Stack Development,What are the key skills needed for Full Stack Development?,Key skills for Full Stack Development include proficiency in frontend technologies like HTML, CSS, JavaScript, and backend technologies like Node.js, Express, and databases like MongoDB or MySQL.,,,,,,Key skills for Full Stack Development include proficiency in frontend technologies like HTML  CSS  JavaScript  and backend technologies like Node.js  Express  and databases like MongoDB or MySQL.
Full Stack Development,What is the difference between frontend and backend development?,Frontend development focuses on the user interface (UI) and experience (UX) of an application, while backend development deals with the server-side, database, and application logic.,,,,,,,,Frontend development focuses on the user interface (UI) and experience (UX) of an application  while backend development deals with the server-side  database  and application logic.
Full Stack Development,What is a frontend framework?,A frontend framework is a pre-built collection of tools, libraries, and conventions to help developers build the user interface of a web application more efficiently. Examples include React, Angular, and Vue.js.,,,,,,,A frontend framework is a pre-built collection of tools  libraries  and conventions to help developers build the user interface of a web application more efficiently. Examples include React  Angular  and Vue.js.
Full Stack Development,What is a backend framework?,A backend framework provides a foundation for building server-side applications, including APIs, authentication, and database management. Examples include Express.js, Django, and Ruby on Rails.,,,,,,A backend framework provides a foundation for building server-side applications  including APIs  authentication  and database management. Examples include Express.js  Django  and Ruby on Rails.
Full Stack Development,What is Node.js?,Node.js is a JavaScript runtime environment built on Chrome's V8 JavaScript engine, allowing developers to run JavaScript on the server side.,,,,,,,,,,Node.js is a JavaScript runtime environment built on Chrome's V8 JavaScript engine  allowing developers to run JavaScript on the server side.
Full Stack Development,What is React?,React is a JavaScript library used for building user interfaces, especially single-page applications, by creating reusable UI components.,,,,,,,,,React is a JavaScript library used for building user interfaces  especially single-page applications  by creating reusable UI components.
Full Stack Development,What is the purpose of RESTful API?,RESTful APIs allow communication between the frontend and backend of an application using standard HTTP methods, making it easier to handle data requests in a structured way.,,,,,,,,,,RESTful APIs allow communication between the frontend and backend of an application using standard HTTP methods  making it easier to handle data requests in a structured way.
Full Stack Development,What is the difference between REST and GraphQL?,REST is an architectural style where endpoints provide predefined responses, while GraphQL is a query language that allows clients to request specific data, giving them more flexibility.,,,,,,,,,REST is an architectural style where endpoints provide predefined responses  while GraphQL is a query language that allows clients to request specific data  giving them more flexibility.
Full Stack Development,What is a database in Full Stack Development?,A database stores and manages data for a web application. Examples include relational databases like MySQL, PostgreSQL, and non-relational databases like MongoDB.,,,,,,,,,A database stores and manages data for a web application. Examples include relational databases like MySQL  PostgreSQL  and non-relational databases like MongoDB.
Full Stack Development,What is SQL?,SQL (Structured Query Language) is a language used to manage and manipulate relational databases, allowing for tasks like querying data, updating records, and creating tables.,,,,,,,,SQL (Structured Query Language) is a language used to manage and manipulate relational databases  allowing for tasks like querying data  updating records  and creating tables.
Full Stack Development,What is NoSQL?,NoSQL databases are non-relational databases designed to handle unstructured or semi-structured data. Examples include MongoDB and Cassandra.,,,,,,,,,,,NoSQL databases are non-relational databases designed to handle unstructured or semi-structured data. Examples include MongoDB and Cassandra.
Full Stack Development,What is MongoDB?,MongoDB is a NoSQL database that stores data in flexible, JSON-like documents instead of tables, making it suitable for handling large amounts of unstructured data.,,,,,,,,,MongoDB is a NoSQL database that stores data in flexible  JSON-like documents instead of tables  making it suitable for handling large amounts of unstructured data.
Full Stack Development,What is Express.js?,Express.js is a web application framework for Node.js, used to simplify the process of building server-side applications and APIs.,,,,,,,,,,Express.js is a web application framework for Node.js  used to simplify the process of building server-side applications and APIs.
Full Stack Development,What is the Model-View-Controller (MVC) architecture?,MVC is a software design pattern that separates an application into three interconnected components: Model (data), View (UI), and Controller (logic).,,,,,,,,,MVC is a software design pattern that separates an application into three interconnected components: Model (data)  View (UI)  and Controller (logic).
Full Stack Development,What is the purpose of version control?,Version control systems, like Git, track changes to source code over time, allowing developers to collaborate, revert changes, and manage different versions of code.,,,,,,Version control systems  like Git  track changes to source code over time  allowing developers to collaborate  revert changes  and manage different versions of code.
Full Stack Development,What is Git?,Git is a distributed version control system that allows developers to track changes to code, collaborate with others, and maintain multiple versions of a project.,,,,,,,,,Git is a distributed version control system that allows developers to track changes to code  collaborate with others  and maintain multiple versions of a project.
Full Stack Development,What is GitHub?,GitHub is a cloud-based platform that hosts Git repositories and provides collaborative features such as pull requests, issue tracking, and code review.,,,,,,,,,GitHub is a cloud-based platform that hosts Git repositories and provides collaborative features such as pull requests  issue tracking  and code review.
Full Stack Development,What is the difference between Git and GitHub?,Git is a version control system, while GitHub is a cloud-based platform that provides Git repository hosting and additional features for collaboration.,,,,,,,,,,Git is a version control system  while GitHub is a cloud-based platform that provides Git repository hosting and additional features for collaboration.
Full Stack Development,What is Webpack?,Webpack is a module bundler for JavaScript applications that bundles JavaScript files, images, and other assets for use in the browser.,,,,,,,,,Webpack is a module bundler for JavaScript applications that bundles JavaScript files  images  and other assets for use in the browser.
Full Stack Development,What is Babel?,Babel is a JavaScript compiler that allows developers to write modern JavaScript code, which can be converted into older JavaScript syntax for compatibility with older browsers.,,,,,,,,,,Babel is a JavaScript compiler that allows developers to write modern JavaScript code  which can be converted into older JavaScript syntax for compatibility with older browsers.
