Domain,Question,,,,,,,,,,,,Answer
Healthcare and Medical Roles,What is HIPAA?,HIPAA stands for the Health Insurance Portability and Accountability Act, which protects the privacy and security of patients' health information.,,,,,,,,,,HIPAA stands for the Health Insurance Portability and Accountability Act  which protects the privacy and security of patients' health information.
Healthcare and Medical Roles,What is patient-centered care?,Patient-centered care involves treating patients with respect, involving them in decision-making, and focusing on their individual needs and preferences.,,,,,,,,,Patient-centered care involves treating patients with respect  involving them in decision-making  and focusing on their individual needs and preferences.
Healthcare and Medical Roles,What is evidence-based practice?,Evidence-based practice is the use of current best evidence from research, clinical expertise, and patient values to make healthcare decisions.,,,,,,,,,Evidence-based practice is the use of current best evidence from research  clinical expertise  and patient values to make healthcare decisions.
Healthcare and Medical Roles,What is a patient’s medical history?,A patient’s medical history is a record of their previous illnesses, treatments, surgeries, allergies, and family health conditions.,,,,,,,A patient’s medical history is a record of their previous illnesses  treatments  surgeries  allergies  and family health conditions.
Healthcare and Medical Roles,What is informed consent?,Informed consent is the process of providing a patient with all necessary information about a treatment or procedure so they can make an educated decision about their care.,,,,,,,,,,,Informed consent is the process of providing a patient with all necessary information about a treatment or procedure so they can make an educated decision about their care.
Healthcare and Medical Roles,What is the role of a nurse in patient care?,Nurses are responsible for providing care, monitoring patient progress, administering medications, and educating patients and families about health management.,,,,,,,,Nurses are responsible for providing care  monitoring patient progress  administering medications  and educating patients and families about health management.
Healthcare and Medical Roles,What is a medical chart?,A medical chart is a record of a patient’s medical information, including history, treatments, test results, and progress notes from healthcare providers.,,,,,,,A medical chart is a record of a patient’s medical information  including history  treatments  test results  and progress notes from healthcare providers.
Healthcare and Medical Roles,What is triage in healthcare?,Triage is the process of prioritizing patients based on the severity of their conditions, ensuring that the most critical patients are treated first.,,,,,,,,,,Triage is the process of prioritizing patients based on the severity of their conditions  ensuring that the most critical patients are treated first.
Healthcare and Medical Roles,What is a SOAP note?,A SOAP note is a standardized method of documentation in healthcare, standing for Subjective, Objective, Assessment, and Plan.,,,,,,,A SOAP note is a standardized method of documentation in healthcare  standing for Subjective  Objective  Assessment  and Plan.
Healthcare and Medical Roles,What is a health insurance claim?,A health insurance claim is a request for payment made to an insurance company for medical services rendered to a patient.,,,,,,,,,,,A health insurance claim is a request for payment made to an insurance company for medical services rendered to a patient.
Healthcare and Medical Roles,What is a medical diagnosis?,A medical diagnosis is the identification of a disease or condition based on the patient’s symptoms, medical history, and diagnostic tests.,,,,,,,,,A medical diagnosis is the identification of a disease or condition based on the patient’s symptoms  medical history  and diagnostic tests.
Healthcare and Medical Roles,What is medical malpractice?,Medical malpractice occurs when a healthcare provider deviates from the accepted standard of care, resulting in harm to the patient.,,,,,,,,,,Medical malpractice occurs when a healthcare provider deviates from the accepted standard of care  resulting in harm to the patient.
Healthcare and Medical Roles,What is a clinical trial?,A clinical trial is a research study that tests new treatments, drugs, or medical devices on patients to determine their effectiveness and safety.,,,,,,,,,A clinical trial is a research study that tests new treatments  drugs  or medical devices on patients to determine their effectiveness and safety.
Healthcare and Medical Roles,What is palliative care?,Palliative care focuses on providing relief from the symptoms, pain, and stress of serious illnesses, aiming to improve the quality of life for patients.,,,,,,,,Palliative care focuses on providing relief from the symptoms  pain  and stress of serious illnesses  aiming to improve the quality of life for patients.
Healthcare and Medical Roles,What is a diagnostic test?,A diagnostic test is a medical procedure used to identify or confirm the presence of a disease or condition in a patient.,,,,,,,,,,,A diagnostic test is a medical procedure used to identify or confirm the presence of a disease or condition in a patient.
Healthcare and Medical Roles,What is telemedicine?,Telemedicine is the use of telecommunication technology to provide medical care, consultations, and monitoring remotely.,,,,,,,,,Telemedicine is the use of telecommunication technology to provide medical care  consultations  and monitoring remotely.
Healthcare and Medical Roles,What is a prescription?,A prescription is a written order from a licensed healthcare provider that authorizes a patient to receive a specific medication or treatment.,,,,,,,,,,,A prescription is a written order from a licensed healthcare provider that authorizes a patient to receive a specific medication or treatment.
Healthcare and Medical Roles,What is a medical procedure?,A medical procedure is a specific method or technique used by healthcare providers to diagnose, treat, or prevent a medical condition.,,,,,,,,,A medical procedure is a specific method or technique used by healthcare providers to diagnose  treat  or prevent a medical condition.
Healthcare and Medical Roles,What is a pharmacist’s role?,Pharmacists dispense medications, advise patients on proper medication use, and collaborate with healthcare providers to ensure effective treatments.,,,,,,,,,Pharmacists dispense medications  advise patients on proper medication use  and collaborate with healthcare providers to ensure effective treatments.
Healthcare and Medical Roles,What is the role of a physician assistant?,A physician assistant is a licensed healthcare professional who works under the supervision of a physician to diagnose and treat patients, perform procedures, and provide patient education.,,,,,,,,,A physician assistant is a licensed healthcare professional who works under the supervision of a physician to diagnose and treat patients  perform procedures  and provide patient education.
Healthcare and Medical Roles,What is a health risk assessment?,A health risk assessment is a tool used to evaluate an individual’s risk for certain health conditions based on lifestyle, family history, and other factors.,,,,,,,,,A health risk assessment is a tool used to evaluate an individual’s risk for certain health conditions based on lifestyle  family history  and other factors.
Healthcare and Medical Roles,What is an EHR?,EHR stands for Electronic Health Record, which is a digital version of a patient’s paper chart that is shared among healthcare providers.,,,,,,,,,,EHR stands for Electronic Health Record  which is a digital version of a patient’s paper chart that is shared among healthcare providers.
Healthcare and Medical Roles,What is the difference between acute and chronic conditions?,Acute conditions are sudden and severe illnesses, while chronic conditions persist over time and may require ongoing management.,,,,,,,,,,Acute conditions are sudden and severe illnesses  while chronic conditions persist over time and may require ongoing management.
Healthcare and Medical Roles,What is a medical emergency?,A medical emergency is a serious, unexpected situation that requires immediate attention, such as a heart attack or stroke.,,,,,,,,,A medical emergency is a serious  unexpected situation that requires immediate attention  such as a heart attack or stroke.
Healthcare and Medical Roles,What is infection control in healthcare?,Infection control is a set of practices and policies used to prevent the spread of infectious diseases in healthcare settings.,,,,,,,,,,,Infection control is a set of practices and policies used to prevent the spread of infectious diseases in healthcare settings.
Healthcare and Medical Roles,What is patient safety?,Patient safety refers to the practices and systems in place to prevent harm to patients during healthcare delivery.,,,,,,,,,,,Patient safety refers to the practices and systems in place to prevent harm to patients during healthcare delivery.
Healthcare and Medical Roles,What is a health policy?,A health policy is a plan or course of action taken by a government or organization to achieve specific health outcomes for individuals or populations.,,,,,,,,,,,A health policy is a plan or course of action taken by a government or organization to achieve specific health outcomes for individuals or populations.
Healthcare and Medical Roles,What is a primary care physician?,A primary care physician is a healthcare provider who serves as the first point of contact for general health issues and coordinates care with specialists as needed.,,,,,,,,,,,A primary care physician is a healthcare provider who serves as the first point of contact for general health issues and coordinates care with specialists as needed.
Healthcare and Medical Roles,What is a specialist doctor?,A specialist doctor is a physician who focuses on a specific area of medicine, such as cardiology or orthopedics.,,,,,,,,,,A specialist doctor is a physician who focuses on a specific area of medicine  such as cardiology or orthopedics.
Healthcare and Medical Roles,What is an anesthesiologist?,An anesthesiologist is a medical doctor who specializes in administering anesthesia to patients undergoing surgery or other procedures.,,,,,,,,,,,An anesthesiologist is a medical doctor who specializes in administering anesthesia to patients undergoing surgery or other procedures.
Healthcare and Medical Roles,What is a surgeon?,A surgeon is a medical doctor who specializes in performing surgical procedures to treat diseases, injuries, or abnormalities.,,,,,,,,,A surgeon is a medical doctor who specializes in performing surgical procedures to treat diseases  injuries  or abnormalities.
Healthcare and Medical Roles,What is the role of a dietitian?,A dietitian is a healthcare professional who advises patients on nutrition and helps develop eating plans to manage health conditions.,,,,,,,,,,,A dietitian is a healthcare professional who advises patients on nutrition and helps develop eating plans to manage health conditions.
Healthcare and Medical Roles,What is the difference between a nurse and a nurse practitioner?,A nurse provides direct patient care, while a nurse practitioner is an advanced practice nurse who can diagnose, prescribe medications, and provide treatments.,,,,,,,,A nurse provides direct patient care  while a nurse practitioner is an advanced practice nurse who can diagnose  prescribe medications  and provide treatments.
Healthcare and Medical Roles,What is a medical billing and coding specialist?,A medical billing and coding specialist is responsible for translating medical procedures and diagnoses into codes for billing and insurance purposes.,,,,,,,,,,,A medical billing and coding specialist is responsible for translating medical procedures and diagnoses into codes for billing and insurance purposes.
Healthcare and Medical Roles,What is a medical director?,A medical director is a physician who provides leadership and oversees clinical operations, policies, and medical practices within a healthcare organization.,,,,,,,,,A medical director is a physician who provides leadership and oversees clinical operations  policies  and medical practices within a healthcare organization.
Healthcare and Medical Roles,What is patient advocacy?,Patient advocacy involves supporting and promoting the rights and well-being of patients, ensuring they receive appropriate care.,,,,,,,,,,Patient advocacy involves supporting and promoting the rights and well-being of patients  ensuring they receive appropriate care.
Healthcare and Medical Roles,What is a hospital administrator?,A hospital administrator manages the overall operations of a healthcare facility, including budgeting, staffing, and policy implementation.,,,,,,,,A hospital administrator manages the overall operations of a healthcare facility  including budgeting  staffing  and policy implementation.
Healthcare and Medical Roles,What is clinical documentation improvement?,Clinical documentation improvement (CDI) is the process of improving the accuracy and completeness of patient health records to ensure proper coding and reimbursement.,,,,,,,,,,,Clinical documentation improvement (CDI) is the process of improving the accuracy and completeness of patient health records to ensure proper coding and reimbursement.
Healthcare and Medical Roles,What is a medical ethics committee?,A medical ethics committee is a group of healthcare professionals who review and make decisions on ethical issues in patient care.,,,,,,,,,,,A medical ethics committee is a group of healthcare professionals who review and make decisions on ethical issues in patient care.
Healthcare and Medical Roles,What is a medical interpreter?,A medical interpreter assists patients and healthcare providers by translating medical information between different languages.,,,,,,,,,,,A medical interpreter assists patients and healthcare providers by translating medical information between different languages.
