Domain,Question,,,,,,,,,,,,Answer
Human Resources,What is Human Resource Management (HRM)?,HRM is the process of hiring, training, managing, and retaining employees to achieve organizational goals.,,,,,,,,HRM is the process of hiring  training  managing  and retaining employees to achieve organizational goals.
Human Resources,What are the key functions of HR?,The key functions are recruitment, training and development, performance management, compensation and benefits, and employee relations.,,,,,,,The key functions are recruitment  training and development  performance management  compensation and benefits  and employee relations.
Human Resources,What is the role of an HR manager?,An HR manager oversees employee lifecycle activities, ensures compliance with labor laws, and supports organizational development.,,,,,,,,,An HR manager oversees employee lifecycle activities  ensures compliance with labor laws  and supports organizational development.
Human Resources,What is recruitment?,Recruitment is the process of identifying, attracting, and selecting candidates for a job.,,,,,,,,,Recruitment is the process of identifying  attracting  and selecting candidates for a job.
Human Resources,What is the difference between recruitment and selection?,Recruitment involves attracting candidates, while selection involves choosing the most suitable candidate from the applicants.,,,,,,,,,,Recruitment involves attracting candidates  while selection involves choosing the most suitable candidate from the applicants.
Human Resources,What is onboarding?,Onboarding is the process of integrating new employees into an organization and its culture.,,,,,,,,,,,Onboarding is the process of integrating new employees into an organization and its culture.
Human Resources,What is employee engagement?,Employee engagement refers to the emotional commitment and involvement an employee has towards their organization.,,,,,,,,,,,Employee engagement refers to the emotional commitment and involvement an employee has towards their organization.
Human Resources,What is the importance of training and development?,Training and development improve employee skills, productivity, and job satisfaction, benefiting both employees and the organization.,,,,,,,,Training and development improve employee skills  productivity  and job satisfaction  benefiting both employees and the organization.
Human Resources,What are performance appraisals?,Performance appraisals are evaluations of an employee's job performance, typically conducted annually or semi-annually.,,,,,,,,,,Performance appraisals are evaluations of an employee's job performance  typically conducted annually or semi-annually.
Human Resources,What is succession planning?,Succession planning is preparing employees to fill key roles within the organization in the future.,,,,,,,,,,,Succession planning is preparing employees to fill key roles within the organization in the future.
Human Resources,What are compensation and benefits?,Compensation refers to monetary rewards like salary, while benefits are non-monetary perks like health insurance and paid time off.,,,,,,,,,,Compensation refers to monetary rewards like salary  while benefits are non-monetary perks like health insurance and paid time off.
Human Resources,What is workplace diversity?,Workplace diversity involves having employees from different backgrounds, experiences, and perspectives.,,,,,,,,,Workplace diversity involves having employees from different backgrounds  experiences  and perspectives.
Human Resources,What is an HR policy?,An HR policy is a set of guidelines and rules that outline the organization's approach to managing employees.,,,,,,,,,,,An HR policy is a set of guidelines and rules that outline the organization's approach to managing employees.
Human Resources,What is talent management?,Talent management is the strategic process of attracting, developing, and retaining skilled employees.,,,,,,,,,Talent management is the strategic process of attracting  developing  and retaining skilled employees.
Human Resources,What is an HRIS?,An HRIS (Human Resource Information System) is software used to manage HR activities, such as payroll, recruitment, and employee data.,,,,,,,,An HRIS (Human Resource Information System) is software used to manage HR activities  such as payroll  recruitment  and employee data.
Human Resources,What is the role of HR in employee retention?,HR helps retain employees by addressing their needs, offering career development opportunities, and maintaining a positive work environment.,,,,,,,,,HR helps retain employees by addressing their needs  offering career development opportunities  and maintaining a positive work environment.
Human Resources,What is grievance handling?,Grievance handling is the process of addressing and resolving employee complaints and concerns.,,,,,,,,,,,Grievance handling is the process of addressing and resolving employee complaints and concerns.
Human Resources,What is the role of HR in organizational change?,HR supports change by managing communication, training, and ensuring employee buy-in during transitions.,,,,,,,,,HR supports change by managing communication  training  and ensuring employee buy-in during transitions.
Human Resources,What is employee relations?,Employee relations involve building and maintaining positive relationships between employees and the organization.,,,,,,,,,,,Employee relations involve building and maintaining positive relationships between employees and the organization.
Human Resources,What is workplace harassment?,Workplace harassment includes unwelcome behavior that creates a hostile work environment, such as bullying or discrimination.,,,,,,,,,,Workplace harassment includes unwelcome behavior that creates a hostile work environment  such as bullying or discrimination.
Human Resources,What is a job analysis?,A job analysis identifies the duties, responsibilities, and skills required for a specific job.,,,,,,,,,A job analysis identifies the duties  responsibilities  and skills required for a specific job.
Human Resources,What is job evaluation?,Job evaluation is the process of assessing the value of a job within an organization to determine fair compensation.,,,,,,,,,,,Job evaluation is the process of assessing the value of a job within an organization to determine fair compensation.
Human Resources,What is the importance of employee feedback?,Employee feedback helps identify areas for improvement, enhances engagement, and fosters better communication.,,,,,,,,,Employee feedback helps identify areas for improvement  enhances engagement  and fosters better communication.
Human Resources,What are the types of employee motivation?,The types include intrinsic motivation (internal satisfaction) and extrinsic motivation (external rewards).,,,,,,,,,,,The types include intrinsic motivation (internal satisfaction) and extrinsic motivation (external rewards).
Human Resources,What is the role of HR in conflict resolution?,HR mediates conflicts by addressing concerns, fostering communication, and finding mutually beneficial solutions.,,,,,,,,,HR mediates conflicts by addressing concerns  fostering communication  and finding mutually beneficial solutions.
Human Resources,What is an exit interview?,An exit interview is a meeting conducted with departing employees to gather feedback and understand their reasons for leaving.,,,,,,,,,,,An exit interview is a meeting conducted with departing employees to gather feedback and understand their reasons for leaving.
Human Resources,What is an employment contract?,An employment contract is a legal agreement outlining the terms and conditions of employment between the employer and employee.,,,,,,,,,,,An employment contract is a legal agreement outlining the terms and conditions of employment between the employer and employee.
Human Resources,What are labor laws?,Labor laws are regulations that govern the relationship between employers and employees, ensuring workers' rights and fair treatment.,,,,,,,,,,Labor laws are regulations that govern the relationship between employers and employees  ensuring workers' rights and fair treatment.
Human Resources,What is a competency framework?,A competency framework defines the skills, knowledge, and behaviors required for employees to perform effectively in their roles.,,,,,,,,,A competency framework defines the skills  knowledge  and behaviors required for employees to perform effectively in their roles.
Human Resources,What is job satisfaction?,Job satisfaction is the level of contentment employees feel about their work, which affects performance and retention.,,,,,,,,,,Job satisfaction is the level of contentment employees feel about their work  which affects performance and retention.
Human Resources,What is HR compliance?,HR compliance ensures that the organization adheres to labor laws and employment regulations.,,,,,,,,,,,HR compliance ensures that the organization adheres to labor laws and employment regulations.
Human Resources,What is an equal opportunity employer?,An equal opportunity employer does not discriminate based on race, gender, age, religion, or other protected characteristics.,,,,,,,An equal opportunity employer does not discriminate based on race  gender  age  religion  or other protected characteristics.
Human Resources,What is a 360-degree feedback system?,A 360-degree feedback system collects feedback on an employee's performance from peers, subordinates, and managers.,,,,,,,,,A 360-degree feedback system collects feedback on an employee's performance from peers  subordinates  and managers.
Human Resources,What is the purpose of employee surveys?,Employee surveys gather insights on job satisfaction, workplace culture, and areas for improvement.,,,,,,,,,Employee surveys gather insights on job satisfaction  workplace culture  and areas for improvement.
Human Resources,What is a learning and development plan?,A learning and development plan outlines training programs to enhance employee skills and career growth.,,,,,,,,,,,A learning and development plan outlines training programs to enhance employee skills and career growth.
Human Resources,What is HR analytics?,HR analytics uses data to analyze workforce trends and improve HR decision-making.,,,,,,,,,,,HR analytics uses data to analyze workforce trends and improve HR decision-making.
Human Resources,What is the importance of work-life balance?,Work-life balance reduces stress, increases productivity, and enhances employee well-being and satisfaction.,,,,,,,,,Work-life balance reduces stress  increases productivity  and enhances employee well-being and satisfaction.
Human Resources,What is an employee handbook?,An employee handbook is a document that outlines company policies, procedures, and expectations for employees.,,,,,,,,,An employee handbook is a document that outlines company policies  procedures  and expectations for employees.
Human Resources,What is employer branding?,Employer branding refers to how an organization is perceived as an employer, which affects its ability to attract and retain talent.,,,,,,,,,,Employer branding refers to how an organization is perceived as an employer  which affects its ability to attract and retain talent.
Human Resources,What is a probation period?,A probation period is a trial period during which an employer assesses a new employee's performance and suitability for the role.,,,,,,,,,,,A probation period is a trial period during which an employer assesses a new employee's performance and suitability for the role.
Human Resources,What is the difference between a leader and a manager?,A leader inspires and motivates, while a manager focuses on planning, organizing, and overseeing tasks.,,,,,,,,A leader inspires and motivates  while a manager focuses on planning  organizing  and overseeing tasks.
Human Resources,What is the purpose of a team-building activity?,Team-building activities foster collaboration, improve communication, and strengthen relationships within a team.,,,,,,,,,Team-building activities foster collaboration  improve communication  and strengthen relationships within a team.
Human Resources,What is emotional intelligence in the workplace?,Emotional intelligence involves understanding and managing emotions, which helps build better workplace relationships.,,,,,,,,,,Emotional intelligence involves understanding and managing emotions  which helps build better workplace relationships.
Human Resources,What is the role of HR in mergers and acquisitions?,HR manages cultural integration, communication, and workforce transitions during mergers and acquisitions.,,,,,,,,,HR manages cultural integration  communication  and workforce transitions during mergers and acquisitions.
Human Resources,What is payroll management?,Payroll management involves calculating and distributing employee salaries, taxes, and benefits.,,,,,,,,,Payroll management involves calculating and distributing employee salaries  taxes  and benefits.
Human Resources,What is employee advocacy?,Employee advocacy occurs when employees promote and support their organization publicly, enhancing its reputation.,,,,,,,,,,Employee advocacy occurs when employees promote and support their organization publicly  enhancing its reputation.
Human Resources,What is the role of HR in employee health and safety?,HR ensures compliance with safety regulations and promotes health and wellness programs in the workplace.,,,,,,,,,,,HR ensures compliance with safety regulations and promotes health and wellness programs in the workplace.
