Domain,Question,,,,,,,,,,,,Answer
Machine Learning,What is the difference between supervised and unsupervised learning?,Supervised learning uses labeled data to train models to predict outcomes, while unsupervised learning uses unlabeled data to find patterns and relationships within the data.,,,,,,,,,,Supervised learning uses labeled data to train models to predict outcomes  while unsupervised learning uses unlabeled data to find patterns and relationships within the data.
Machine Learning,What is overfitting?,Overfitting occurs when a model learns not only the underlying patterns in the data but also the noise or random fluctuations, which leads to poor performance on unseen data.,,,,,,,,,,Overfitting occurs when a model learns not only the underlying patterns in the data but also the noise or random fluctuations  which leads to poor performance on unseen data.
Machine Learning,What is underfitting?,Underfitting happens when a model is too simple and cannot capture the underlying patterns in the data, leading to poor performance both on training and test data.,,,,,,,,,,Underfitting happens when a model is too simple and cannot capture the underlying patterns in the data  leading to poor performance both on training and test data.
Machine Learning,What is a confusion matrix?,A confusion matrix is a table used to evaluate the performance of a classification model, showing the number of true positive, false positive, true negative, and false negative predictions.,,,,,,,A confusion matrix is a table used to evaluate the performance of a classification model  showing the number of true positive  false positive  true negative  and false negative predictions.
Machine Learning,What are precision and recall?,Precision is the ratio of true positive predictions to the total predicted positives, while recall is the ratio of true positive predictions to the total actual positives.,,,,,,,,,,Precision is the ratio of true positive predictions to the total predicted positives  while recall is the ratio of true positive predictions to the total actual positives.
Machine Learning,What is a ROC curve?,A ROC (Receiver Operating Characteristic) curve is a graphical representation of a classifier's performance, plotting the true positive rate against the false positive rate at different thresholds.,,,,,,,,,,A ROC (Receiver Operating Characteristic) curve is a graphical representation of a classifier's performance  plotting the true positive rate against the false positive rate at different thresholds.
Machine Learning,What is a hyperparameter?,A hyperparameter is a parameter that is set before training a model and controls the model's learning process, such as the learning rate or the number of trees in a random forest.,,,,,,,,,,A hyperparameter is a parameter that is set before training a model and controls the model's learning process  such as the learning rate or the number of trees in a random forest.
Machine Learning,What is cross-validation?,Cross-validation is a technique used to assess the performance of a machine learning model by dividing the data into subsets, training the model on some subsets and testing it on others.,,,,,,,,,,Cross-validation is a technique used to assess the performance of a machine learning model by dividing the data into subsets  training the model on some subsets and testing it on others.
Machine Learning,What is gradient descent?,Gradient descent is an optimization algorithm used to minimize the cost function in machine learning by iteratively adjusting the model parameters in the direction of the steepest descent.,,,,,,,,,,,Gradient descent is an optimization algorithm used to minimize the cost function in machine learning by iteratively adjusting the model parameters in the direction of the steepest descent.
Machine Learning,What is the bias-variance tradeoff?,The bias-variance tradeoff refers to the balance between a model's bias (error due to overly simplistic assumptions) and variance (error due to model complexity). Reducing bias increases variance, and reducing variance increases bias.,,,,,,,,,,The bias-variance tradeoff refers to the balance between a model's bias (error due to overly simplistic assumptions) and variance (error due to model complexity). Reducing bias increases variance  and reducing variance increases bias.
Machine Learning,What is the purpose of feature scaling?,Feature scaling is the process of normalizing or standardizing features so they have a similar scale, which helps improve the performance and convergence speed of certain algorithms.,,,,,,,,,,Feature scaling is the process of normalizing or standardizing features so they have a similar scale  which helps improve the performance and convergence speed of certain algorithms.
Machine Learning,What is the difference between bagging and boosting?,Bagging (Bootstrap Aggregating) involves training multiple models in parallel and averaging their predictions, while boosting sequentially trains models, each correcting the errors of the previous one.,,,,,,,,,Bagging (Bootstrap Aggregating) involves training multiple models in parallel and averaging their predictions  while boosting sequentially trains models  each correcting the errors of the previous one.
