Domain,Question,,,,,,,,,,,,Answer
Mobile App Development,What is mobile app development?,Mobile app development is the process of creating software applications designed to run on mobile devices, such as smartphones and tablets.,,,,,,,,,,Mobile app development is the process of creating software applications designed to run on mobile devices  such as smartphones and tablets.
Mobile App Development,What are the major mobile platforms?,The two major mobile platforms are Android (developed by Google) and iOS (developed by Apple).,,,,,,,,,,,The two major mobile platforms are Android (developed by Google) and iOS (developed by Apple).
Mobile App Development,What is the difference between native and cross-platform app development?,Native app development uses platform-specific tools and languages (e.g., Swift for iOS, Kotlin for Android), while cross-platform development uses frameworks like Flutter or React Native to create apps for multiple platforms with a single codebase.,,,,,,,,Native app development uses platform-specific tools and languages (e.g.  Swift for iOS  Kotlin for Android)  while cross-platform development uses frameworks like Flutter or React Native to create apps for multiple platforms with a single codebase.
Mobile App Development,What is Android Studio?,Android Studio is the official integrated development environment (IDE) for Android app development, provided by Google.,,,,,,,,,,Android Studio is the official integrated development environment (IDE) for Android app development  provided by Google.
Mobile App Development,What is Xcode?,Xcode is Apple’s IDE used for developing iOS and macOS applications, providing tools for coding, debugging, and deploying apps.,,,,,,,,Xcode is Apple’s IDE used for developing iOS and macOS applications  providing tools for coding  debugging  and deploying apps.
Mobile App Development,What is a mobile app's User Interface (UI)?,A mobile app's User Interface (UI) is the visual part of the app that users interact with, including buttons, menus, and layouts.,,,,,,,,A mobile app's User Interface (UI) is the visual part of the app that users interact with  including buttons  menus  and layouts.
Mobile App Development,What is the role of an API in mobile app development?,APIs (Application Programming Interfaces) allow mobile apps to communicate with external services or data sources, enabling functionalities like authentication, data retrieval, and integration with third-party services.,,,,,,,,APIs (Application Programming Interfaces) allow mobile apps to communicate with external services or data sources  enabling functionalities like authentication  data retrieval  and integration with third-party services.
Mobile App Development,What is responsive design in mobile apps?,Responsive design ensures that a mobile app adjusts its layout and functionality to fit different screen sizes and orientations.,,,,,,,,,,,Responsive design ensures that a mobile app adjusts its layout and functionality to fit different screen sizes and orientations.
Mobile App Development,What are the benefits of using Flutter for app development?,Flutter, developed by Google, allows developers to create high-performance cross-platform apps with a single codebase, offering fast development, a rich widget library, and customizable UI designs.,,,,,,Flutter  developed by Google  allows developers to create high-performance cross-platform apps with a single codebase  offering fast development  a rich widget library  and customizable UI designs.
Mobile App Development,What is Swift?,Swift is a programming language developed by Apple for creating iOS and macOS applications.,,,,,,,,,,,Swift is a programming language developed by Apple for creating iOS and macOS applications.
Mobile App Development,What is Kotlin?,Kotlin is a modern programming language officially supported by Google for Android app development, known for its simplicity and safety features.,,,,,,,,,,Kotlin is a modern programming language officially supported by Google for Android app development  known for its simplicity and safety features.
Mobile App Development,What is React Native?,React Native is a cross-platform app development framework developed by Facebook, allowing developers to create apps for iOS and Android using JavaScript.,,,,,,,,,,React Native is a cross-platform app development framework developed by Facebook  allowing developers to create apps for iOS and Android using JavaScript.
Mobile App Development,What is a hybrid app?,A hybrid app is a mobile application built using web technologies like HTML, CSS, and JavaScript, wrapped in a native container to run on multiple platforms.,,,,,,,,A hybrid app is a mobile application built using web technologies like HTML  CSS  and JavaScript  wrapped in a native container to run on multiple platforms.
Mobile App Development,What is an Activity in Android?,An Activity is a single screen in an Android app, acting as an entry point for user interaction.,,,,,,,,,,An Activity is a single screen in an Android app  acting as an entry point for user interaction.
Mobile App Development,What is a Fragment in Android?,A Fragment represents a reusable portion of the UI in an Android app, used to create dynamic and flexible interfaces.,,,,,,,,,,A Fragment represents a reusable portion of the UI in an Android app  used to create dynamic and flexible interfaces.
