Domain,Question,,,,,,,,,,,,Answer
Networking,What is a network?,A network is a collection of computers, servers, mainframes, network devices, and other devices connected to one another to share data, resources, and services.,,,,,A network is a collection of computers  servers  mainframes  network devices  and other devices connected to one another to share data  resources  and services.
Networking,What are the types of networks?,The types of networks include LAN (Local Area Network), WAN (Wide Area Network), MAN (Metropolitan Area Network), and WLAN (Wireless Local Area Network).,,,,,,,,The types of networks include LAN (Local Area Network)  WAN (Wide Area Network)  MAN (Metropolitan Area Network)  and WLAN (Wireless Local Area Network).
Networking,What is the OSI model?,The OSI (Open Systems Interconnection) model is a conceptual framework used to understand and describe network interactions in seven layers: Physical, Data Link, Network, Transport, Session, Presentation, and Application.,,,,,The OSI (Open Systems Interconnection) model is a conceptual framework used to understand and describe network interactions in seven layers: Physical  Data Link  Network  Transport  Session  Presentation  and Application.
Networking,What is a router?,A router is a networking device that forwards data packets between computer networks, often connecting a local network to the internet or to other networks.,,,,,,,,,,A router is a networking device that forwards data packets between computer networks  often connecting a local network to the internet or to other networks.
Networking,What is an IP address?,An IP (Internet Protocol) address is a unique identifier assigned to each device connected to a network, enabling communication between devices over the internet or a local network.,,,,,,,,,,An IP (Internet Protocol) address is a unique identifier assigned to each device connected to a network  enabling communication between devices over the internet or a local network.
Networking,What is the difference between IPv4 and IPv6?,IPv4 uses 32-bit addresses and supports about 4 billion unique addresses, while IPv6 uses 128-bit addresses, supporting a vastly larger address space.,,,,,,,,,IPv4 uses 32-bit addresses and supports about 4 billion unique addresses  while IPv6 uses 128-bit addresses  supporting a vastly larger address space.
Networking,What is a subnet?,A subnet (subnetwork) is a logical division of an IP network into smaller networks. It helps optimize routing, enhance security, and reduce network traffic.,,,,,,,,,A subnet (subnetwork) is a logical division of an IP network into smaller networks. It helps optimize routing  enhance security  and reduce network traffic.
Networking,What is DNS?,DNS (Domain Name System) is a hierarchical system that translates human-readable domain names (like www.example.com) into IP addresses that computers can understand.,,,,,,,,,,,DNS (Domain Name System) is a hierarchical system that translates human-readable domain names (like www.example.com) into IP addresses that computers can understand.
Networking,What is a MAC address?,A MAC (Media Access Control) address is a unique identifier assigned to network interfaces for communication within a local network. It operates at the Data Link layer of the OSI model.,,,,,,,,,,,A MAC (Media Access Control) address is a unique identifier assigned to network interfaces for communication within a local network. It operates at the Data Link layer of the OSI model.
Networking,What is a switch?,A switch is a network device that connects devices within a LAN, using MAC addresses to forward data only to the device it is intended for, thus reducing collisions.,,,,,,,,,A switch is a network device that connects devices within a LAN  using MAC addresses to forward data only to the device it is intended for  thus reducing collisions.
Networking,What is a hub?,A hub is a basic networking device that connects multiple devices in a LAN. Unlike a switch, it broadcasts data to all devices on the network, leading to potential collisions and inefficiencies.,,,,,,,,,A hub is a basic networking device that connects multiple devices in a LAN. Unlike a switch  it broadcasts data to all devices on the network  leading to potential collisions and inefficiencies.
Networking,What is the difference between a switch and a hub?,A switch forwards data to the specific device it is intended for using MAC addresses, while a hub broadcasts data to all connected devices, causing unnecessary traffic and collisions.,,,,,,,,,A switch forwards data to the specific device it is intended for using MAC addresses  while a hub broadcasts data to all connected devices  causing unnecessary traffic and collisions.
Networking,What is a gateway?,A gateway is a network device that acts as a bridge between two different networks, often between a local network and the internet, and is used to translate communication between different protocols.,,,,,,,,,A gateway is a network device that acts as a bridge between two different networks  often between a local network and the internet  and is used to translate communication between different protocols.
Networking,What is a firewall?,A firewall is a security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules. It helps protect networks from unauthorized access or attacks.,,,,,,,,,,,A firewall is a security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules. It helps protect networks from unauthorized access or attacks.
Networking,What is NAT (Network Address Translation)?,NAT is a process used in networking to modify the source or destination IP address in packet headers to enable multiple devices on a local network to share a single public IP address.,,,,,,,,,,,NAT is a process used in networking to modify the source or destination IP address in packet headers to enable multiple devices on a local network to share a single public IP address.
Networking,What is a VLAN?,A VLAN (Virtual Local Area Network) is a logical partition of a physical network that groups devices into a virtual network, providing better security, efficiency, and traffic management.,,,,,,,,A VLAN (Virtual Local Area Network) is a logical partition of a physical network that groups devices into a virtual network  providing better security  efficiency  and traffic management.
Networking,What is a load balancer?,A load balancer is a device or software that distributes network traffic across multiple servers to ensure no single server is overwhelmed, improving performance and reliability.,,,,,,,,,,A load balancer is a device or software that distributes network traffic across multiple servers to ensure no single server is overwhelmed  improving performance and reliability.
Networking,What is a proxy server?,A proxy server is an intermediary server that sits between a client and a destination server, often used to filter requests, improve security, or cache content for faster access.,,,,,,,,A proxy server is an intermediary server that sits between a client and a destination server  often used to filter requests  improve security  or cache content for faster access.
Networking,What is the difference between a proxy server and a firewall?,A proxy server acts as an intermediary between clients and servers, while a firewall monitors and filters network traffic to enforce security policies.,,,,,,,,,,A proxy server acts as an intermediary between clients and servers  while a firewall monitors and filters network traffic to enforce security policies.
Networking,What is an IP subnet mask?,An IP subnet mask is used to divide an IP address into network and host portions, helping devices identify which part of the address refers to the network and which refers to the host.,,,,,,,,,,An IP subnet mask is used to divide an IP address into network and host portions  helping devices identify which part of the address refers to the network and which refers to the host.
Networking,What is DHCP (Dynamic Host Configuration Protocol)?,DHCP is a network protocol used to automatically assign IP addresses to devices on a network, eliminating the need for manual configuration of IP settings.,,,,,,,,,,DHCP is a network protocol used to automatically assign IP addresses to devices on a network  eliminating the need for manual configuration of IP settings.
