Domain,Question,,,,,,,,,,,,Answer
Software Development,What is the difference between procedural programming and object-oriented programming (OOP)?,Procedural programming is based on the concept of procedure calls, where code is executed step by step. OOP is based on objects, which encapsulate data and methods to operate on that data.,,,,,,,,,Procedural programming is based on the concept of procedure calls  where code is executed step by step. OOP is based on objects  which encapsulate data and methods to operate on that data.
Software Development,What are the main principles of object-oriented programming?,The main principles of OOP are encapsulation, inheritance, polymorphism, and abstraction.,,,,,,,,The main principles of OOP are encapsulation  inheritance  polymorphism  and abstraction.
Software Development,Can you explain the concept of inheritance in OOP?,Inheritance allows a new class to inherit properties and behaviors (methods) from an existing class, promoting code reuse and establishing a relationship between the parent and child classes.,,,,,,,,,,Inheritance allows a new class to inherit properties and behaviors (methods) from an existing class  promoting code reuse and establishing a relationship between the parent and child classes.
Software Development,What is polymorphism and how does it work in OOP?,,Polymorphism allows methods to be used interchangeably in different objects, enabling the same method to perform different functions depending on the object it is called on.,,,,,,,,, Polymorphism allows methods to be used interchangeably in different objects  enabling the same method to perform different functions depending on the object it is called on.
Software Development,What is encapsulation and why is it important?,,Encapsulation is the bundling of data and the methods that operate on that data within a single unit (class), restricting direct access to some of an object's components for data protection and integrity.,,,,,,,,, Encapsulation is the bundling of data and the methods that operate on that data within a single unit (class)  restricting direct access to some of an object's components for data protection and integrity.
Software Development,What is abstraction in OOP?,Abstraction is the concept of hiding the complex reality while exposing only the necessary parts, allowing for simpler interfaces and focusing on relevant aspects of objects.,,,,,,,,,,Abstraction is the concept of hiding the complex reality while exposing only the necessary parts  allowing for simpler interfaces and focusing on relevant aspects of objects.
Software Development,Explain the difference between a class and an object.,A class is a blueprint or template for creating objects, and an object is an instance of a class with specific values for its attributes.,,,,,,,,,,A class is a blueprint or template for creating objects  and an object is an instance of a class with specific values for its attributes.
Software Development,What is a constructor in programming?,A constructor is a special method in a class that initializes new objects, setting initial values for attributes when an object is created.,,,,,,,,,,A constructor is a special method in a class that initializes new objects  setting initial values for attributes when an object is created.
Software Development,What is the purpose of a destructor in object-oriented programming?,A destructor is a method that is invoked when an object is destroyed, typically used for cleanup, such as freeing resources or closing file handles.,,,,,,,,,A destructor is a method that is invoked when an object is destroyed  typically used for cleanup  such as freeing resources or closing file handles.
Software Development, and how is it different from method overriding?,,Method overloading is the ability to define multiple methods with the same name but different parameters. Method overriding occurs when a subclass provides a specific implementation of a method already defined in its superclass.,,,,,,,,,, Method overloading is the ability to define multiple methods with the same name but different parameters. Method overriding occurs when a subclass provides a specific implementation of a method already defined in its superclass.
Software Development,Explain the difference between a static method and an instance method.,A static method belongs to the class and can be called without creating an instance of the class. An instance method belongs to an instance of the class and requires an object to be invoked.,,,,,,,,,,,A static method belongs to the class and can be called without creating an instance of the class. An instance method belongs to an instance of the class and requires an object to be invoked.
Software Development,What are data structures and why are they important in software development?,,Data structures are ways of organizing and storing data efficiently. They are important for optimizing performance and ensuring efficient data access and manipulation.,,,,,,,,,, Data structures are ways of organizing and storing data efficiently. They are important for optimizing performance and ensuring efficient data access and manipulation.
Software Development,What is the difference between an array and a linked list?,An array is a collection of elements stored in contiguous memory locations, while a linked list is a collection of elements (nodes) where each node points to the next one, allowing dynamic memory allocation.,,,,,,,,,An array is a collection of elements stored in contiguous memory locations  while a linked list is a collection of elements (nodes) where each node points to the next one  allowing dynamic memory allocation.
Software Development,What is a stack and how does it work?,,A stack is a data structure that follows the Last In, First Out (LIFO) principle, where elements are added and removed from the top of the stack.,,,,,,,, A stack is a data structure that follows the Last In  First Out (LIFO) principle  where elements are added and removed from the top of the stack.
Software Development,What is a queue  and how does it differ from a stack?,,A queue is a data structure that follows the First In, First Out (FIFO) principle, where elements are added at the back and removed from the front, unlike a stack which operates on the LIFO principle.,,,,,,,A queue is a data structure that follows the First In  First Out (FIFO) principle  where elements are added at the back and removed from the front  unlike a stack which operates on the LIFO principle.
Software Development,What is the difference between a hash table and an array?,A hash table stores key-value pairs for fast lookups based on a hash function, while an array is an ordered collection of elements with a fixed index.,,,,,,,,,,A hash table stores key-value pairs for fast lookups based on a hash function  while an array is an ordered collection of elements with a fixed index.
Software Development,What is a binary tree and what are its types?,,A binary tree is a hierarchical data structure where each node has at most two children. Types include full binary trees, complete binary trees, and balanced binary trees.,,,,,,,,A binary tree is a hierarchical data structure where each node has at most two children. Types include full binary trees  complete binary trees  and balanced binary trees.
Software Development,Can you explain the concept of recursion with an example?,Recursion occurs when a function calls itself. For example, calculating factorials: `factorial(n) = n * factorial(n-1)`, where the base case is `factorial(0) = 1`.,,,,,,,,,Recursion occurs when a function calls itself. For example  calculating factorials: `factorial(n) = n * factorial(n-1)`  where the base case is `factorial(0) = 1`.
Software Development,What is dynamic programming and how does it differ from brute-force methods?,,Dynamic programming solves problems by breaking them into smaller overlapping subproblems and storing their solutions to avoid redundant calculations. Brute-force methods solve the entire problem without optimization.,,,,,,,,,, Dynamic programming solves problems by breaking them into smaller overlapping subproblems and storing their solutions to avoid redundant calculations. Brute-force methods solve the entire problem without optimization.
Software Development,What is a database management system (DBMS)?,A DBMS is software that facilitates the creation, management, and manipulation of databases, ensuring data storage, retrieval, and security.,,,,,,A DBMS is software that facilitates the creation  management  and manipulation of databases  ensuring data storage  retrieval  and security.
Software Development,Explain the concept of normalization in a relational database.,Normalization is the process of organizing data in a database to reduce redundancy and dependency by dividing large tables into smaller, related tables.,,,,,,,,,,Normalization is the process of organizing data in a database to reduce redundancy and dependency by dividing large tables into smaller  related tables.
Software Development,What are the different types of joins in SQL?,The main types of joins are INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN, which specify how data from two tables is combined based on common columns.,,,,,,,The main types of joins are INNER JOIN  LEFT JOIN  RIGHT JOIN  and FULL JOIN  which specify how data from two tables is combined based on common columns.
Software Development,What is the difference between a primary key and a foreign key in databases?,A primary key uniquely identifies each record in a table, while a foreign key establishes a relationship between two tables by referring to the primary key in another table.,,,,,,,,,,A primary key uniquely identifies each record in a table  while a foreign key establishes a relationship between two tables by referring to the primary key in another table.
Software Development,What is the concept of ACID in database transactions?,ACID stands for Atomicity, Consistency, Isolation, and Durability, which are principles that guarantee reliable and predictable database transactions.,,,,,,,ACID stands for Atomicity  Consistency  Isolation  and Durability  which are principles that guarantee reliable and predictable database transactions.
Software Development,Can you explain the difference between SQL and NoSQL databases?,SQL databases are relational and use structured query language for data management, while NoSQL databases are non-relational and are used for unstructured or semi-structured data.,,,,,,,,,,SQL databases are relational and use structured query language for data management  while NoSQL databases are non-relational and are used for unstructured or semi-structured data.
Software Development,What is a RESTful API?,A RESTful API is an interface that allows communication between systems using standard HTTP methods (GET, POST, PUT, DELETE) and follows REST principles like statelessness and resource-based operations.,,,,,,,,A RESTful API is an interface that allows communication between systems using standard HTTP methods (GET  POST  PUT  DELETE) and follows REST principles like statelessness and resource-based operations.
Software Development,How does REST differ from SOAP?,REST is lightweight, stateless, and uses standard HTTP methods, while SOAP (Simple Object Access Protocol) is a more rigid, XML-based protocol with additional overhead and strict security requirements.,,,,,,,REST is lightweight  stateless  and uses standard HTTP methods  while SOAP (Simple Object Access Protocol) is a more rigid  XML-based protocol with additional overhead and strict security requirements.
Software Development,"What is HTTP and what are its methods (GET , POST,  PUT,  DELETE)? ",,,,,HTTP (Hypertext Transfer Protocol) is the protocol used for communication on the web. GET retrieves data, POST sends data, PUT updates data, and DELETE removes data.,,,,HTTP (Hypertext Transfer Protocol) is the protocol used for communication on the web. GET retrieves data  POST sends data  PUT updates data  and DELETE removes data.
