Domain,Question,,,,,,,,,,,,Answer
Data Science,What is the difference between supervised and unsupervised learning?,Supervised learning involves training a model on labeled data to predict outcomes, while unsupervised learning works with unlabeled data to find hidden patterns or groupings.,,,,,,,,,,Supervised learning involves training a model on labeled data to predict outcomes  while unsupervised learning works with unlabeled data to find hidden patterns or groupings.
Data Science,What are the different types of machine learning algorithms?,Common types of machine learning algorithms include regression, classification, clustering, and dimensionality reduction.,,,,,,,,Common types of machine learning algorithms include regression  classification  clustering  and dimensionality reduction.
Data Science,What is the purpose of data normalization and how is it done?,Normalization is the process of scaling data to fit within a specific range (usually 0 to 1) to avoid bias in models due to varying feature scales. Methods include Min-Max scaling and Z-score normalization.,,,,,,,,,,,Normalization is the process of scaling data to fit within a specific range (usually 0 to 1) to avoid bias in models due to varying feature scales. Methods include Min-Max scaling and Z-score normalization.
Data Science,What is a confusion matrix?,A confusion matrix is a table used to evaluate the performance of a classification algorithm by comparing the predicted values with the actual values.,,,,,,,,,,,A confusion matrix is a table used to evaluate the performance of a classification algorithm by comparing the predicted values with the actual values.
Data Science,What are precision and recall?,Precision is the ratio of true positive predictions to the total number of positive predictions made by the model. Recall is the ratio of true positive predictions to the total number of actual positives in the dataset.,,,,,,,,,,,Precision is the ratio of true positive predictions to the total number of positive predictions made by the model. Recall is the ratio of true positive predictions to the total number of actual positives in the dataset.
Data Science,What is overfitting and how can you prevent it?,Overfitting occurs when a model learns the noise in the training data, making it perform poorly on unseen data. It can be prevented using techniques like cross-validation, regularization, and pruning decision trees.,,,,,,,,Overfitting occurs when a model learns the noise in the training data  making it perform poorly on unseen data. It can be prevented using techniques like cross-validation  regularization  and pruning decision trees.
Data Science,What is cross-validation?,Cross-validation is a technique used to assess the performance of a model by dividing the dataset into multiple subsets (folds) and training the model on some subsets while testing it on the others.,,,,,,,,,,,Cross-validation is a technique used to assess the performance of a model by dividing the dataset into multiple subsets (folds) and training the model on some subsets while testing it on the others.
Data Science,What is bias-variance tradeoff?,The bias-variance tradeoff refers to the balance between a model's ability to generalize (low bias) and its sensitivity to the data (low variance). A good model finds the right balance to avoid overfitting or underfitting.,,,,,,,,,,,The bias-variance tradeoff refers to the balance between a model's ability to generalize (low bias) and its sensitivity to the data (low variance). A good model finds the right balance to avoid overfitting or underfitting.
Data Science,What is feature engineering?,Feature engineering is the process of selecting, modifying, or creating new features from raw data to improve the performance of machine learning algorithms.,,,,,,,,,Feature engineering is the process of selecting  modifying  or creating new features from raw data to improve the performance of machine learning algorithms.
Data Science,What is PCA (Principal Component Analysis)?,PCA is a dimensionality reduction technique that transforms data into a new coordinate system by projecting it onto a set of orthogonal axes (principal components) that capture the most variance in the data.,,,,,,,,,,,PCA is a dimensionality reduction technique that transforms data into a new coordinate system by projecting it onto a set of orthogonal axes (principal components) that capture the most variance in the data.
Data Science,What is the difference between bagging and boosting?,Bagging (Bootstrap Aggregating) involves training multiple models independently and combining their results, while boosting sequentially trains models where each new model corrects the errors of the previous one.,,,,,,,,,,Bagging (Bootstrap Aggregating) involves training multiple models independently and combining their results  while boosting sequentially trains models where each new model corrects the errors of the previous one.
Data Science,What is the difference between classification and regression?,Classification is used to predict categorical outcomes, while regression is used to predict continuous numerical outcomes.,,,,,,,,,,Classification is used to predict categorical outcomes  while regression is used to predict continuous numerical outcomes.
Data Science,What are some common evaluation metrics for classification models?,Common evaluation metrics for classification models include accuracy, precision, recall, F1 score, ROC-AUC, and confusion matrix.,,,,,,Common evaluation metrics for classification models include accuracy  precision  recall  F1 score  ROC-AUC  and confusion matrix.
Data Science,What are decision trees and how do they work?, ,Decision trees are a supervised learning algorithm used for classification or regression tasks. They split the data at each node based on feature values to create branches that lead to predictions.,,,,,,,,,, Decision trees are a supervised learning algorithm used for classification or regression tasks. They split the data at each node based on feature values to create branches that lead to predictions.
Data Science,What is ensemble learning?,Ensemble learning combines the predictions of multiple models (e.g., decision trees, neural networks) to improve overall performance, often using methods like bagging, boosting, and stacking.,,,,,,Ensemble learning combines the predictions of multiple models (e.g.  decision trees  neural networks) to improve overall performance  often using methods like bagging  boosting  and stacking.
Data Science,What is the curse of dimensionality?,The curse of dimensionality refers to the phenomenon where the performance of machine learning models degrades as the number of features in the data increases, due to the sparsity of the data in high-dimensional spaces.,,,,,,,,,,The curse of dimensionality refers to the phenomenon where the performance of machine learning models degrades as the number of features in the data increases  due to the sparsity of the data in high-dimensional spaces.
Data Science,What is clustering?,Clustering is an unsupervised learning technique used to group similar data points together based on their features. Common algorithms include K-means, DBSCAN, and hierarchical clustering.,,,,,,,,,Clustering is an unsupervised learning technique used to group similar data points together based on their features. Common algorithms include K-means  DBSCAN  and hierarchical clustering.
Data Science,What is the difference between K-means and hierarchical clustering?,K-means is a partition-based clustering algorithm that divides data into a pre-defined number of clusters, while hierarchical clustering builds a tree of clusters by either agglomerating or dividing them recursively.,,,,,,,,,,K-means is a partition-based clustering algorithm that divides data into a pre-defined number of clusters  while hierarchical clustering builds a tree of clusters by either agglomerating or dividing them recursively.
Data Science,What is the difference between a dataset's population and sample?,A population includes all possible data points, while a sample is a subset of the population used to estimate characteristics of the entire population.,,,,,,,,,,A population includes all possible data points  while a sample is a subset of the population used to estimate characteristics of the entire population.
Data Science,What is feature selection?,Feature selection is the process of choosing the most important features from the dataset to improve model performance and reduce overfitting by removing irrelevant or redundant features.,,,,,,,,,,,Feature selection is the process of choosing the most important features from the dataset to improve model performance and reduce overfitting by removing irrelevant or redundant features.
Data Science,What is the purpose of regularization in machine learning?,Regularization is a technique used to prevent overfitting by adding a penalty term to the model's loss function, such as L1 (lasso) or L2 (ridge) regularization.,,,,,,,,,,Regularization is a technique used to prevent overfitting by adding a penalty term to the model's loss function  such as L1 (lasso) or L2 (ridge) regularization.
Data Science,What is a random forest?,A random forest is an ensemble learning method that uses multiple decision trees to improve predictive accuracy and control overfitting. Each tree is trained on a random subset of the data and features.,,,,,,,,,,,A random forest is an ensemble learning method that uses multiple decision trees to improve predictive accuracy and control overfitting. Each tree is trained on a random subset of the data and features.
Data Science,What are the advantages and disadvantages of using deep learning models?,Advantages of deep learning include automatic feature extraction and high performance on large datasets. Disadvantages include the need for large amounts of labeled data and high computational resources.,,,,,,,,,,,Advantages of deep learning include automatic feature extraction and high performance on large datasets. Disadvantages include the need for large amounts of labeled data and high computational resources.
Data Science,What is a neural network?,A neural network is a machine learning model inspired by the human brain, consisting of layers of interconnected nodes (neurons) that process and learn from data through forward propagation and backpropagation.,,,,,,,,,,A neural network is a machine learning model inspired by the human brain  consisting of layers of interconnected nodes (neurons) that process and learn from data through forward propagation and backpropagation.
Data Science,What is the difference between a convolutional neural network (CNN) and a recurrent neural network (RNN)?,A CNN is typically used for image data, focusing on local spatial patterns, while an RNN is used for sequence data, modeling temporal dependencies in time-series or text data.,,,,,,,,A CNN is typically used for image data  focusing on local spatial patterns  while an RNN is used for sequence data  modeling temporal dependencies in time-series or text data.
Data Science,What is the role of activation functions in neural networks?,Activation functions introduce non-linearity into the model, allowing it to learn complex patterns. Common activation functions include ReLU, Sigmoid, and Tanh.,,,,,,,,Activation functions introduce non-linearity into the model  allowing it to learn complex patterns. Common activation functions include ReLU  Sigmoid  and Tanh.
Data Science,What is a support vector machine (SVM)?,A support vector machine is a supervised learning algorithm used for classification tasks. It finds the hyperplane that best separates data points from different classes while maximizing the margin between them.,,,,,,,,,,,A support vector machine is a supervised learning algorithm used for classification tasks. It finds the hyperplane that best separates data points from different classes while maximizing the margin between them.
Data Science,What is the role of the learning rate in training machine learning models?,The learning rate controls how much the model's weights are adjusted with each iteration during training. A high learning rate may cause the model to converge too quickly, while a low learning rate may lead to slow convergence.,,,,,,,,,,The learning rate controls how much the model's weights are adjusted with each iteration during training. A high learning rate may cause the model to converge too quickly  while a low learning rate may lead to slow convergence.
Data Science,What is the difference between SGD (Stochastic Gradient Descent) and batch gradient descent?,SGD updates model parameters based on a single data point, whereas batch gradient descent uses the entire dataset to compute the gradient before updating parameters. SGD is faster but more noisy.,,,,,,,,,,SGD updates model parameters based on a single data point  whereas batch gradient descent uses the entire dataset to compute the gradient before updating parameters. SGD is faster but more noisy.
Data Science,What is the ROC curve  and how do you interpret it?,,The ROC (Receiver Operating Characteristic) curve plots the true positive rate against the false positive rate at various classification thresholds. A model with a higher area under the ROC curve (AUC) is considered better.,,,,,,,,,, The ROC (Receiver Operating Characteristic) curve plots the true positive rate against the false positive rate at various classification thresholds. A model with a higher area under the ROC curve (AUC) is considered better.
Data Science,What is the F1 score  and why is it important?,,The F1 score is the harmonic mean of precision and recall, providing a balance between the two. It is useful when the data is imbalanced and you want to minimize both false positives and false negatives.,,,,,,,,, The F1 score is the harmonic mean of precision and recall  providing a balance between the two. It is useful when the data is imbalanced and you want to minimize both false positives and false negatives.
